Country,Total_Medals,Bronze,Gold,Silver,Unique_Athletes
United States,1992,481,928,583,1369
Soviet Union,1021,297,439,285,795
Australia,798,312,216,270,540
Germany,691,278,237,176,492
China,679,193,234,252,486
Russia,638,240,192,206,474
East Germany,626,150,286,190,466
Italy,486,178,145,163,343
Romania,482,190,135,157,303
United Kingdom,467,188,122,157,346
"Korea, South",454,128,140,186,369
France,449,185,154,110,342
Netherlands,428,151,137,140,299
Japan,388,182,94,112,295
Hungary,368,135,129,104,239
Cuba,349,88,152,109,259
West Germany,345,126,84,135,277
Spain,328,76,87,165,284
Brazil,318,125,56,137,251
Canada,304,117,76,111,236
Yugoslavia,278,102,90,86,224
Poland,263,98,52,113,224
Bulgaria,247,107,40,100,204
Unified team,223,66,92,65,189
Sweden,193,55,28,110,133
Norway,154,46,50,58,121
Argentina,153,70,46,37,122
Ukraine,148,78,32,38,129
Denmark,148,50,78,20,124
New Zealand,122,51,50,21,93
Belarus,92,53,14,25,73
Jamaica,89,38,17,34,52
Czechoslovakia,85,29,27,29,80
Nigeria,82,25,19,38,79
Croatia,79,18,31,30,72
Switzerland,79,28,14,37,68
Greece,74,23,19,32,60
Kenya,56,17,18,21,49
Finland,54,19,18,17,45
Lithuania,50,42,4,4,39
Pakistan,49,33,16,0,47
Belgium,41,20,6,15,37
Czech Republic,41,13,10,18,32
Taiwan,40,12,2,26,38
Turkey,40,15,14,11,33
Kazakhstan,39,14,9,16,38
Mexico,38,22,6,10,36
"Korea, North",37,17,9,11,30
Indonesia,35,12,9,14,33
Austria,34,8,9,17,29
Ethiopia,32,12,15,5,19
Serbia,29,14,0,15,23
Slovakia,29,8,10,11,16
South Africa,24,7,7,10,19
Chile,24,19,3,2,21
Zimbabwe,23,1,18,4,17
Iran,21,8,7,6,15
Cameroon,21,1,20,0,20
India,21,4,16,1,21
Slovenia,21,11,4,6,16
Thailand,21,10,7,4,20
Morocco,20,10,6,4,16
Bahamas,19,3,7,9,13
Georgia,18,11,5,2,16
Paraguay,17,0,0,17,17
Uzbekistan,17,8,4,5,15
Azerbaijan,16,9,4,3,14
Portugal,16,7,4,5,13
Iceland,16,2,0,14,16
Peru,14,0,0,14,14
Ireland,14,4,4,6,11
Latvia,14,3,2,9,12
Mongolia,14,7,2,5,14
Algeria,14,8,4,2,13
Ghana,13,13,0,0,13
Estonia,12,6,3,3,11
Trinidad and Tobago,11,4,1,6,7
Armenia,9,7,1,1,9
Venezuela,8,6,0,2,8
Colombia,8,5,1,2,8
Israel,7,5,1,1,6
Egypt,7,4,1,2,7
Moldova,6,3,0,3,6
Malaysia,6,3,0,3,5
Puerto Rico*,5,4,0,1,5
Namibia,4,0,0,4,1
Costa Rica,4,2,1,1,2
Dominican Republic,4,1,2,1,4
Singapore,3,0,0,3,3
Philippines,3,2,0,1,3
Independent Olympic Participants (1992),3,2,0,1,3
Kyrgyzstan,3,2,0,1,3
Hong Kong*,3,0,1,2,3
Syria,3,1,1,1,3
Ecuador,2,0,1,1,1
Zambia,2,1,0,1,2
Suriname,2,1,1,0,1
Tunisia,2,1,1,0,2
Tanzania,2,0,0,2,2
Tajikistan,2,1,0,1,2
Saudi Arabia,2,1,0,1,2
Qatar,2,2,0,0,2
Mozambique,2,1,1,0,1
Uganda,2,1,0,1,2
Vietnam,2,0,0,2,2
Barbados,1,1,0,0,1
Afghanistan,1,1,0,0,1
Burundi,1,0,1,0,1
Bermuda*,1,1,0,0,1
Cote d'Ivoire,1,0,0,1,1
Djibouti,1,1,0,0,1
Lebanon,1,1,0,0,1
Kuwait,1,1,0,0,1
Eritrea,1,1,0,0,1
Guyana,1,1,0,0,1
Macedonia,1,1,0,0,1
Mauritius,1,1,0,0,1
Netherlands Antilles*,1,0,0,1,1
Panama,1,0,1,0,1
Senegal,1,0,0,1,1
Tonga,1,0,0,1,1
Sudan,1,0,0,1,1
Sri Lanka,1,0,0,1,1
Togo,1,1,0,0,1
United Arab Emirates,1,0,1,0,1
Uruguay,1,0,0,1,1
Virgin Islands*,1,0,0,1,1
